2017-08-27 21:02:46,525 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @121330ms
2017-08-27 21:02:46,587 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-08-27 21:02:46,614 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@28eaa9ba{/help,null,AVAILABLE}
2017-08-27 21:02:46,624 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@6d5001a5{HTTP/1.1}{127.0.0.1:61634}
2017-08-27 21:02:46,625 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @121431ms
2017-08-27 21:07:49,968 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not available. Remote download required.
2017-08-27 21:08:44,283 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@6d5001a5{HTTP/1.1}{127.0.0.1:0}
2017-08-27 21:08:44,302 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@28eaa9ba{/help,null,UNAVAILABLE}
2017-09-06 23:06:38,840 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-09-09 19:01:22,391 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-09-10 23:32:49,762 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
